country,year,n_obs_aire,n_years,year_min,year_max,tfr_mean,tfr_min,tfr_max
Albania,2024,67,10,2012,2022,1.5010000000000001,1.21,1.73
Andorra,2024,12,NA,NA,NA,NA,NA,NA
Austria,2024,4930,12,2012,2023,1.455,1.32,1.53
Belgium,2024,4043,12,2012,2023,1.6416666666666666,1.47,1.8
Bosnia and Herzegovina,2024,279,NA,NA,NA,NA,NA,NA
Bulgaria,2024,620,12,2012,2023,1.6966666666666668,1.5,1.81
Croatia,2024,308,12,2012,2023,1.5025,1.42,1.63
Cyprus,2024,161,12,2012,2023,1.3583333333333334,1.31,1.4
Czechia,2024,2003,12,2012,2023,1.6183333333333334,1.45,1.83
Denmark,2024,384,12,2012,2023,1.685,1.5,1.79
Estonia,2024,114,12,2012,2023,1.5525,1.31,1.67
Finland,2024,1401,12,2012,2023,1.5116666666666667,1.26,1.8
Finland,NA,1,12,2012,2023,1.5116666666666667,1.26,1.8
France,2018,5,12,2012,2023,1.8825,1.66,2.01
France,2019,6,12,2012,2023,1.8825,1.66,2.01
France,2020,52,12,2012,2023,1.8825,1.66,2.01
France,2021,3,12,2012,2023,1.8825,1.66,2.01
France,2022,13,12,2012,2023,1.8825,1.66,2.01
France,2023,5,12,2012,2023,1.8825,1.66,2.01
France,2024,9676,12,2012,2023,1.8825,1.66,2.01
Georgia,2019,56,9,2014,2023,2.02,1.71,2.23
Germany,2024,8865,12,2012,2023,1.5033333333333334,1.39,1.6
Greece,2023,1,12,2012,2023,1.34,1.26,1.43
Greece,2024,628,12,2012,2023,1.34,1.26,1.43
Hungary,2024,710,12,2012,2023,1.5191666666666668,1.34,1.63
Iceland,2024,349,12,2012,2023,1.7733333333333334,1.55,2.04
Ireland,2020,2,12,2012,2023,1.7483333333333333,1.5,1.98
Ireland,2024,459,12,2012,2023,1.7483333333333333,1.5,1.98
Italy,2019,2,12,2012,2023,1.3141666666666667,1.21,1.42
Italy,2024,6940,12,2012,2023,1.3141666666666667,1.21,1.42
Kosovo under UNSCR 1244/99,2017,1,NA,NA,NA,NA,NA,NA
Kosovo under UNSCR 1244/99,2023,8,NA,NA,NA,NA,NA,NA
Kosovo under UNSCR 1244/99,2024,105,NA,NA,NA,NA,NA,NA
Latvia,2024,382,12,2012,2023,1.575,1.36,1.74
Lithuania,2024,397,12,2012,2023,1.4766666666666666,1.18,1.63
Luxembourg,2023,4,12,2012,2023,1.4091666666666667,1.25,1.57
Luxembourg,2024,392,12,2012,2023,1.4091666666666667,1.25,1.57
Malta,2021,13,12,2012,2023,1.245,1.06,1.42
Malta,2024,263,12,2012,2023,1.245,1.06,1.42
Montenegro,2022,7,12,2012,2023,1.7575,1.72,1.79
Montenegro,2024,80,12,2012,2023,1.7575,1.72,1.79
Netherlands,2019,70,12,2012,2023,1.6075,1.43,1.72
Netherlands,2022,365,12,2012,2023,1.6075,1.43,1.72
Netherlands,2023,13,12,2012,2023,1.6075,1.43,1.72
Netherlands,2024,4140,12,2012,2023,1.6075,1.43,1.72
North Macedonia,2024,782,12,2012,2023,1.4608333333333334,1.31,1.58
Norway,2024,491,12,2012,2023,1.6133333333333333,1.4,1.85
Poland,2024,3595,12,2012,2023,1.3533333333333333,1.2,1.48
Portugal,2024,1057,12,2012,2023,1.3583333333333334,1.21,1.45
Romania,2024,1675,12,2012,2023,1.6683333333333334,1.46,1.81
Serbia,2024,263,12,2012,2023,1.4975,1.43,1.62
Slovakia,2024,1050,12,2012,2023,1.4866666666666668,1.34,1.63
Slovenia,2024,475,12,2012,2023,1.5816666666666668,1.51,1.64
Spain,2024,9898,12,2012,2023,1.2508333333333335,1.12,1.33
Sweden,2024,2857,12,2012,2023,1.7458333333333333,1.45,1.91
Switzerland,2024,1579,12,2012,2023,1.49,1.33,1.54
TÃ¼rkiye,2024,4641,10,2012,2023,1.9669999999999999,1.51,2.17
Ukraine,2019,56,7,2012,2019,1.3285714285714285,1.14,1.53
United Kingdom,2019,29,7,2012,2018,1.7957142857142858,1.68,1.92
United Kingdom,2020,6570,7,2012,2018,1.7957142857142858,1.68,1.92
