country,n_years_aire,year_min_aire,year_max_aire,total_obs_aire,avg_obs_por_year,n_years,year_min,year_max,tfr_mean,tfr_min,tfr_max
Albania,1,2024,2024,67,67,10,2012,2022,1.5010000000000001,1.21,1.73
Andorra,1,2024,2024,12,12,NA,NA,NA,NA,NA,NA
Armenia,NA,NA,NA,NA,NA,5,2015,2019,1.594,1.56,1.62
Austria,1,2024,2024,4930,4930,12,2012,2023,1.455,1.32,1.53
Azerbaijan,NA,NA,NA,NA,NA,8,2012,2019,1.885,1.73,2
Belarus,NA,NA,NA,NA,NA,7,2012,2018,1.6328571428571428,1.45,1.73
Belgium,1,2024,2024,4043,4043,12,2012,2023,1.6416666666666666,1.47,1.8
Bosnia and Herzegovina,1,2024,2024,279,279,NA,NA,NA,NA,NA,NA
Bulgaria,1,2024,2024,620,620,12,2012,2023,1.6966666666666668,1.5,1.81
Croatia,1,2024,2024,308,308,12,2012,2023,1.5025,1.42,1.63
Cyprus,1,2024,2024,161,161,12,2012,2023,1.3583333333333334,1.31,1.4
Czechia,1,2024,2024,2003,2003,12,2012,2023,1.6183333333333334,1.45,1.83
Denmark,1,2024,2024,384,384,12,2012,2023,1.685,1.5,1.79
Estonia,1,2024,2024,114,114,12,2012,2023,1.5525,1.31,1.67
Finland,2,2024,2024,1402,701,12,2012,2023,1.5116666666666667,1.26,1.8
France,7,2018,2024,9760,1394.2857142857142,12,2012,2023,1.8825,1.66,2.01
Georgia,1,2019,2019,56,56,9,2014,2023,2.02,1.71,2.23
Germany,1,2024,2024,8865,8865,12,2012,2023,1.5033333333333334,1.39,1.6
Greece,2,2023,2024,629,314.5,12,2012,2023,1.34,1.26,1.43
Hungary,1,2024,2024,710,710,12,2012,2023,1.5191666666666668,1.34,1.63
Iceland,1,2024,2024,349,349,12,2012,2023,1.7733333333333334,1.55,2.04
Ireland,2,2020,2024,461,230.5,12,2012,2023,1.7483333333333333,1.5,1.98
Italy,2,2019,2024,6942,3471,12,2012,2023,1.3141666666666667,1.21,1.42
Kosovo,NA,NA,NA,NA,NA,5,2015,2019,1.6175,1.55,1.66
Kosovo under UNSCR 1244/99,3,2017,2024,114,38,NA,NA,NA,NA,NA,NA
Latvia,1,2024,2024,382,382,12,2012,2023,1.575,1.36,1.74
Liechtenstein,NA,NA,NA,NA,NA,12,2012,2023,1.4975,1.4,1.61
Lithuania,1,2024,2024,397,397,12,2012,2023,1.4766666666666666,1.18,1.63
Luxembourg,2,2023,2024,396,198,12,2012,2023,1.4091666666666667,1.25,1.57
Malta,2,2021,2024,276,138,12,2012,2023,1.245,1.06,1.42
Moldova,NA,NA,NA,NA,NA,10,2012,2023,1.599,1.28,1.72
Montenegro,2,2022,2024,87,43.5,12,2012,2023,1.7575,1.72,1.79
Netherlands,4,2019,2024,4588,1147,12,2012,2023,1.6075,1.43,1.72
North Macedonia,1,2024,2024,782,782,12,2012,2023,1.4608333333333334,1.31,1.58
Norway,1,2024,2024,491,491,12,2012,2023,1.6133333333333333,1.4,1.85
Poland,1,2024,2024,3595,3595,12,2012,2023,1.3533333333333333,1.2,1.48
Portugal,1,2024,2024,1057,1057,12,2012,2023,1.3583333333333334,1.21,1.45
Romania,1,2024,2024,1675,1675,12,2012,2023,1.6683333333333334,1.46,1.81
San Marino,NA,NA,NA,NA,NA,1,2012,2012,1.26,1.26,1.26
Serbia,1,2024,2024,263,263,12,2012,2023,1.4975,1.43,1.62
Slovakia,1,2024,2024,1050,1050,12,2012,2023,1.4866666666666668,1.34,1.63
Slovenia,1,2024,2024,475,475,12,2012,2023,1.5816666666666668,1.51,1.64
Spain,1,2024,2024,9898,9898,12,2012,2023,1.2508333333333335,1.12,1.33
Sweden,1,2024,2024,2857,2857,12,2012,2023,1.7458333333333333,1.45,1.91
Switzerland,1,2024,2024,1579,1579,12,2012,2023,1.49,1.33,1.54
TÃ¼rkiye,1,2024,2024,4641,4641,10,2012,2023,1.9669999999999999,1.51,2.17
Ukraine,1,2019,2019,56,56,7,2012,2019,1.3285714285714285,1.14,1.53
United Kingdom,2,2019,2020,6599,3299.5,7,2012,2018,1.7957142857142858,1.68,1.92
